"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.minesparis.psl.eu/Recherche/Valorisation-de-la-recherche/MINES-ParisTech-Spin-off/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=OCHGwLa4wDA","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=wtVBfzsWt0I","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Services/Nous-joindre/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Actualites/&?id=4778","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div[@class='module'][2]/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=43011","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Presentation-et-organisation/Institut-Carnot-M.I.N.E.S/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Actualites/&?id=2128","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div[@class='module'][2]/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=vYdMzMZsfos","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?title=La-chaire-industrielle-ANR-DIGIMU&idv=P19VZXYV30g","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-de-robotique-CAOR/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=W9cFeGairmg","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Soutenances-a-venir/Detail/&?id=116083","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Masteres-Specialises/Masteres-Specialises-temps-plein/DMS/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/etilab/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=43032","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=43036","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Annuaire-docteurs/Detail/&?annee=2022&id=116643","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Annuaire-docteurs/Detail/&?annee=2022&id=107748","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=ocU76MfIvqE","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
